language,description,url
racket,Racket,http://racket-lang.org/
ragel,Ragel,http://www.colm.net/open-source/ragel/
ragel-c,Ragel in C Host,http://www.colm.net/open-source/ragel/
ragel-cpp,Ragel in CPP Host,http://www.colm.net/open-source/ragel/
ragel-d,Ragel in D Host,http://www.colm.net/open-source/ragel/
ragel-em,Embedded Ragel,http://www.colm.net/open-source/ragel/
ragel-java,Ragel in Java Host,http://www.colm.net/open-source/ragel/
ragel-objc,Ragel in Objective C Host,http://www.colm.net/open-source/ragel/
ragel-ruby,Ragel in Ruby Host,http://www.colm.net/open-source/ragel/
rbcon,Ruby irb session,https://www.ruby-lang.org
rconsole,RConsole,https://www.r-project.org
rd,Rd,http://cran.r-project.org/doc/manuals/R-exts.html
reasonml,ReasonML,https://reasonml.github.io/
rebol,REBOL,http://www.rebol.com
red,Red,https://www.red-lang.org
redcode,Redcode,https://en.wikipedia.org/wiki/Core_War
registry,reg,http://en.wikipedia.org/wiki/Windows_Registry#.REG_files
rego,Rego,https://www.openpolicyagent.org/docs/latest/policy-language/
resourcebundle,ResourceBundle,https://unicode-org.github.io/icu/userguide/locale/resources.html
restructuredtext,reStructuredText,https://docutils.sourceforge.io/rst.html
rexx,Rexx,http://www.rexxinfo.org/
rhtml,RHTML,https://github.com/ruby/erb
ride,Ride,https://docs.waves.tech/en/ride
rita,Rita,https://github.com/zaibacu/rita-dsl
rng-compact,Relax-NG Compact,http://relaxng.org
roboconf-graph,Roboconf Graph,https://roboconf.github.io/en/user-guide/graph-definition.html
roboconf-instances,Roboconf Instances,https://roboconf.github.io
robotframework,RobotFramework,http://robotframework.org
rql,RQL,http://www.logilab.org/project/rql
rsl,RSL,http://en.wikipedia.org/wiki/RAISE
ruby,Ruby,http://www.ruby-lang.org
rust,Rust,https://www.rust-lang.org/
sarl,SARL,http://www.sarl.io
sas,SAS,https://en.wikipedia.org/wiki/SAS_(software)
sass,Sass,https://sass-lang.com/
savi,Savi,https://github.com/savi-lang/savi
scala,Scala,http://www.scala-lang.org
scaml,Scaml,https://scalate.github.io/scalate/
scdoc,scdoc,https://git.sr.ht/~sircmpwn/scdoc
scheme,Scheme,http://www.scheme-reports.org/
scilab,Scilab,https://www.scilab.org/
scss,SCSS,https://sass-lang.com/
sed,Sed,https://en.wikipedia.org/wiki/Sed
sgf,SmartGameFormat,https://www.red-bean.com/sgf/
shen,Shen,http://shenlanguage.org/
shexc,ShExC,https://shex.io/shex-semantics/#shexc
sieve,Sieve,https://en.wikipedia.org/wiki/Sieve_(mail_filtering_language)
silver,Silver,https://github.com/viperproject/silver
singularity,Singularity,https://www.sylabs.io/guides/3.0/user-guide/definition_files.html
slash,Slash,https://github.com/arturadib/Slash-A
slim,Slim,https://slim-template.github.io
slurm,Slurm,https://en.wikipedia.org/wiki/Unix_shell
smali,Smali,http://code.google.com/p/smali/
smalltalk,Smalltalk,http://www.smalltalk.org/
smarty,Smarty,https://www.smarty.net/
smithy,Smithy,https://awslabs.github.io/smithy/
sml,Standard ML,https://en.wikipedia.org/wiki/Standard_ML
snbt,SNBT,https://minecraft.wiki/w/NBT_format
snobol,Snobol,https://www.regressive.org/snobol4
snowball,Snowball,https://snowballstem.org/
solidity,Solidity,https://soliditylang.org
sophia,Sophia,https://docs.aeternity.com/aesophia
sp,SourcePawn,https://github.com/alliedmodders/sourcepawn
sparql,SPARQL,https://www.w3.org/TR/sparql11-query
spec,RPMSpec,https://rpm-software-management.github.io/rpm/manual/spec.html
spice,Spice,https://www.spicelang.com
splus,S,https://www.r-project.org
sql,SQL,https://en.wikipedia.org/wiki/SQL
sql+jinja,SQL+Jinja,https://jinja.palletsprojects.com
sqlite3,sqlite3con,https://www.sqlite.org
squidconf,SquidConf,http://www.squid-cache.org/
srcinfo,Srcinfo,https://wiki.archlinux.org/title/.SRCINFO
ssp,Scalate Server Page,https://scalate.github.io/scalate/
stan,Stan,https://mc-stan.org
stata,Stata,http://www.stata.com/
supercollider,SuperCollider,http://supercollider.github.io/
swift,Swift,https://www.swift.org/
swig,SWIG,https://isocpp.org/
systemd,Systemd,https://www.freedesktop.org/software/systemd/man/systemd.syntax.html
systemverilog,systemverilog,https://en.wikipedia.org/wiki/SystemVerilog
tablegen,TableGen,https://llvm.org/docs/TableGen/ProgRef.html
tact,Tact,https://tact-lang.org
tads3,TADS 3,https://www.tads.org
tal,Tal,https://wiki.xxiivv.com/site/uxntal.html
tap,TAP,https://testanything.org/
tasm,TASM,https://en.wikipedia.org/wiki/Turbo_Assembler
tcl,Tcl,https://www.tcl.tk/about/language.html
tcsh,Tcsh,https://www.tcsh.org
tcshcon,Tcsh Session,https://www.tcsh.org
tea,Tea,https://github.com/teatrove/teatrove
teal,teal,https://developer.algorand.org/docs/reference/teal/specification/
teratermmacro,Tera Term macro,https://ttssh2.osdn.jp/
termcap,Termcap,https://en.wikipedia.org/wiki/Termcap
terminfo,Terminfo,https://en.wikipedia.org/wiki/Terminfo
terraform,Terraform,https://www.terraform.io/
tex,TeX,https://tug.org
text,Text only,
thrift,Thrift,https://thrift.apache.org/
ti,ThingsDB,https://www.thingsdb.net
tid,tiddler,https://tiddlywiki.com/#TiddlerFiles
